113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/upload/productimg/32208_pg348q.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/upload/productimg/35642_14176672049278.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/upload/productimg/35213_34702_01.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/upload/productimg/35094_25248_0_may_chu_intel.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/upload/productimg/31335_pc_asus__m32cd_vn016d.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/upload/productimg/34533_gmx_volcanoblue_bigproductimage.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/upload/productimg/35319_vgin062_001.png HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/upload/productimg/36104_acer_aspire_xc_780_dt_b5asv_002.jpg HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/upload/productimg/33308_003.png HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/images/loading.gif HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/null HTTP/1.1" 404 1024
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/images/x42.png HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/images/6x42.png HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/images/9x42.png HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/images/0x42.png HTTP/1.1" 304 -
113.190.218.171 - - [05/May/2017:14:09:09 +0700] "GET /WebBanHang/frontend/images/1x42.png HTTP/1.1" 304 -
