113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/pictures/banner3.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/upload/productimg/34996_pen_g4560.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/upload/productimg/30904_ram_avexir_core_series__blue.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/upload/productimg/31130_hyn_500.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/upload/productimg/35117_gheg304_001.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/upload/productimg/33656_gheg281_001.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/upload/productimg/250_35322_ltas880_1.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/upload/productimg/35212_01.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/upload/productimg/34327_01.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/upload/productimg/35614_33482_01.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/upload/productimg/33260_01.jpeg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/upload/productimg/32208_pg348q.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/upload/productimg/35642_14176672049278.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/upload/productimg/35094_25248_0_may_chu_intel.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/upload/productimg/35213_34702_01.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/upload/productimg/31335_pc_asus__m32cd_vn016d.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/upload/productimg/35319_vgin062_001.png HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/upload/productimg/36104_acer_aspire_xc_780_dt_b5asv_002.jpg HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/upload/productimg/33308_003.png HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/images/loading.gif HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/null HTTP/1.1" 404 1024
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/images/9x42.png HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/images/x42.png HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/images/0x42.png HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/images/6x42.png HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/images/8x42.png HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/images/1x42.png HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/images/5x42.png HTTP/1.1" 304 -
113.190.218.171 - - [06/May/2017:23:31:22 +0700] "GET /WebBanHang/frontend/images/2x42.png HTTP/1.1" 304 -
